contractsn,MBA_technical,MBA_customer,MBA_Scheduling,MBA_Class,MBA_Service,mb_STV
51715716,0.0,0.0,0.0,0.0,0.0,0.0
51710698,0.0,0.0,0.0,0.0,0.0,0.0
51711579,0.0,0.0,0.0,0.0,0.0,0.0
51711478,0.0,0.0,0.0,0.0,0.0,0.0
51711865,0.0,0.0,0.0,0.0,0.0,0.0
51711912,0.0,0.0,0.0,0.0,0.0,0.0
51681376,0.0,0.0,0.0,0.0,0.0,0.0
51681510,0.0,0.0,0.0,0.0,0.0,0.0
51681196,0.0,0.0,0.0,0.0,0.0,0.0
51681330,0.0,0.0,0.0,0.0,0.0,0.0
51681362,0.0,0.0,0.0,0.0,0.0,0.0
51680897,0.0,0.0,0.0,0.0,0.0,0.0
51680912,0.0,0.0,0.0,0.0,0.0,0.0
51681097,0.0,0.0,0.0,0.0,0.0,0.0
51681172,0.0,0.0,0.0,0.0,0.0,0.0
51681354,0.0,0.0,0.0,0.0,0.0,0.0
51681507,0.0,0.0,0.0,0.0,0.0,0.0
51677967,0.0,0.0,0.0,0.0,0.0,0.0
51709980,0.0,0.0,0.0,0.0,0.0,0.0
51711215,0.0,0.0,0.0,0.0,0.0,0.0
51711224,0.0,0.0,0.0,0.0,0.0,0.0
51713938,0.0,1.0,0.0,0.0,0.0,1.0
51715610,0.0,0.0,0.0,0.0,0.0,0.0
51715778,0.0,0.0,0.0,0.0,0.0,0.0
51716171,0.0,0.0,0.0,0.0,0.0,0.0
51716203,0.0,0.0,0.0,0.0,0.0,0.0
51716246,0.0,0.0,0.0,0.0,0.0,0.0
51716482,0.0,0.0,0.0,0.0,0.0,0.0
51716489,0.0,0.0,0.0,0.0,0.0,0.0
51716607,0.0,0.0,0.0,0.0,0.0,0.0
51716614,0.0,0.0,0.0,0.0,0.0,0.0
51716671,0.0,0.0,0.0,0.0,0.0,0.0
51716721,0.0,0.0,0.0,0.0,0.0,0.0
51716989,0.0,0.0,0.0,0.0,0.0,0.0
51717057,0.0,0.0,0.0,0.0,0.0,0.0
51715446,0.0,0.0,0.0,0.0,0.0,0.0
51715471,0.0,0.0,0.0,0.0,0.0,0.0
51713761,0.0,0.0,0.0,0.0,0.0,0.0
51715697,0.0,0.0,0.0,0.0,0.0,0.0
51715801,0.0,0.0,0.0,0.0,0.0,0.0
51715848,0.0,0.0,0.0,0.0,0.0,0.0
51715984,0.0,0.0,0.0,0.0,0.0,0.0
51716084,0.0,0.0,0.0,0.0,0.0,0.0
51716215,0.0,0.0,0.0,0.0,0.0,0.0
51716233,0.0,0.0,0.0,0.0,0.0,0.0
51716369,0.0,0.0,0.0,0.0,0.0,0.0
51716551,0.0,0.0,0.0,0.0,0.0,0.0
51714021,0.0,0.0,0.0,0.0,0.0,0.0
51714465,0.0,0.0,0.0,0.0,0.0,0.0
51715893,0.0,0.0,0.0,0.0,0.0,0.0
51715991,0.0,0.0,0.0,0.0,0.0,0.0
51715977,0.0,0.0,0.0,0.0,0.0,0.0
51715979,0.0,0.0,0.0,0.0,0.0,0.0
51716254,0.0,0.0,0.0,0.0,0.0,0.0
51716413,0.0,0.0,0.0,0.0,0.0,0.0
51716728,0.0,0.0,0.0,0.0,0.0,0.0
51712223,0.0,0.0,0.0,0.0,0.0,0.0
51716949,0.0,0.0,0.0,0.0,0.0,0.0
51716992,0.0,0.0,0.0,0.0,0.0,0.0
51717147,0.0,0.0,0.0,0.0,0.0,0.0
51717190,0.0,0.0,0.0,0.0,0.0,0.0
51709586,0.0,0.0,0.0,0.0,0.0,0.0
51716747,0.0,0.0,0.0,0.0,0.0,0.0
51715595,0.0,0.0,0.0,0.0,0.0,0.0
51716150,0.0,0.0,0.0,0.0,0.0,0.0
51716185,0.0,0.0,0.0,0.0,0.0,0.0
51715738,0.0,0.0,0.0,0.0,0.0,0.0
51716350,0.0,0.0,0.0,0.0,0.0,0.0
51716435,0.0,0.0,0.0,0.0,0.0,0.0
51716641,0.0,0.0,0.0,0.0,0.0,0.0
51716662,0.0,0.0,0.0,0.0,0.0,0.0
51716017,0.0,0.0,0.0,0.0,0.0,0.0
51716067,0.0,0.0,0.0,0.0,0.0,0.0
51715049,0.0,0.0,0.0,0.0,0.0,0.0
51707479,0.0,0.0,0.0,0.0,0.0,0.0
51707708,0.0,0.0,0.0,0.0,0.0,0.0
51707715,0.0,0.0,0.0,0.0,0.0,0.0
51716905,0.0,0.0,0.0,0.0,0.0,0.0
51717109,0.0,0.0,0.0,0.0,0.0,0.0
51717259,0.0,0.0,0.0,0.0,0.0,0.0
51716249,0.0,0.0,0.0,0.0,0.0,0.0
51716287,0.0,0.0,0.0,0.0,0.0,0.0
51716587,0.0,0.0,0.0,0.0,0.0,0.0
51717298,0.0,0.0,0.0,0.0,0.0,0.0
51716609,0.0,0.0,0.0,0.0,0.0,0.0
51716626,0.0,0.0,0.0,0.0,0.0,0.0
51717372,0.0,0.0,0.0,0.0,0.0,0.0
51714491,0.0,0.0,0.0,0.0,0.0,0.0
51716750,0.0,0.0,0.0,0.0,0.0,0.0
51716674,0.0,0.0,0.0,0.0,0.0,0.0
51710442,0.0,0.0,0.0,0.0,0.0,0.0
51710705,0.0,0.0,0.0,0.0,0.0,0.0
51706990,0.0,0.0,0.0,0.0,0.0,0.0
51704722,0.0,0.0,0.0,0.0,0.0,0.0
51704824,0.0,0.0,0.0,0.0,0.0,0.0
51704883,0.0,0.0,0.0,0.0,0.0,0.0
51705122,0.0,0.0,0.0,0.0,0.0,0.0
51705226,0.0,0.0,0.0,0.0,0.0,0.0
51705460,0.0,0.0,0.0,0.0,0.0,0.0
51697489,0.0,0.0,0.0,0.0,0.0,0.0
51707815,0.0,0.0,0.0,0.0,0.0,0.0
51705454,0.0,0.0,0.0,0.0,0.0,0.0
51708732,0.0,0.0,0.0,0.0,0.0,0.0
51713092,0.0,0.0,0.0,0.0,0.0,0.0
51713124,0.0,0.0,0.0,0.0,0.0,0.0
51713709,0.0,0.0,0.0,0.0,0.0,0.0
51715714,0.0,0.0,0.0,0.0,0.0,0.0
51715750,0.0,0.0,0.0,0.0,0.0,0.0
51689349,0.0,0.0,0.0,0.0,0.0,0.0
51714714,0.0,0.0,0.0,0.0,0.0,0.0
51714845,0.0,0.0,0.0,0.0,0.0,0.0
51715533,0.0,0.0,0.0,0.0,0.0,0.0
51680245,0.0,0.0,0.0,0.0,0.0,0.0
51715292,0.0,0.0,0.0,0.0,0.0,0.0
51714411,0.0,0.0,0.0,0.0,0.0,0.0
51714497,0.0,0.0,0.0,0.0,0.0,0.0
51715219,0.0,0.0,0.0,0.0,0.0,0.0
51715276,0.0,0.0,0.0,0.0,0.0,0.0
51715279,0.0,0.0,0.0,0.0,0.0,0.0
